"cavejohnson.cave_laugh04"	"เคฟ จอห์นสัน: [หัวเราะ]"
"[english]cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [laugh]"
"cavejohnson.eighties_intro01"	"Cave Johnson: ยินดีต้อนรับสู่ศูนย์พัฒนาศักยภาพ [เสียงไอ]"
"[english]cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Welcome to the enrichment center. [cough]"
"cavejohnson.eighties_intro03"	"Cave Johnson: นับตั้งแต่เรากำหนดให้พนักงานทุกคนต้องเข้าร่วมการทดสอบ คุณภาพของผู้รับการทดสอบก็เพิ่มสูงขึ้นเป็นอย่างมาก ทว่าอัตราการรักษาพนักงานไว้นั้นไม่ได้เพิ่มตามไปด้วย"
"[english]cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Since making test participation mandatory for all employees, the quality of our test subjects has risen dramatically. Employee retention, however, has not."
"cavejohnson.eighties_intro04"	"Cave Johnson: [ไอ] ผลก็คือ คุณอาจได้ยินว่าเรากำลังค่อยๆยกเลิกการทดลองที่ใช้มนุษย์ แต่มันยังมีอีกไม่กี่อย่างที่จะต้องทำให้เสร็จอยู่"
"[english]cavejohnson.eighties_intro04"	"<clr:205,149,117>Cave Johnson: [cough] As a result, you may have heard we're gonna phase out human testing. There's still a few things left to wrap up, though."
"cavejohnson.eighties_intro06"	"Cave Johnson: อย่างแรก เจลเปลี่ยนสภาพ [เสียงไอ]"
"[english]cavejohnson.eighties_intro06"	"<clr:205,149,117>Cave Johnson: First up, conversion gel. [cough]"
"cavejohnson.eighties_intro07"	"Cave Johnson: เจ้าพวกคนนับถั่วบอกฉันว่าเราไม่มีเงินพอจะซื้อหินดวงจันทร์ราคา 7 ดอลลาร์ได้ จะเอาอะไรกับ 70 ล้าน แต่ก็ซื้อมาอยู่ดี บดจนละเอียด ผสมมันเข้าไปในเจล"
"[english]cavejohnson.eighties_intro07"	"<clr:205,149,117>Cave Johnson: The bean counters told me we literally could not afford to buy seven dollars worth of moon rocks, much less seventy million. Bought 'em anyway. Ground 'em up, mixed em into a gel."
"cavejohnson.eighties_intro08"	"Cave Johnson: ทายซิเกิดอะไรขึ้น? หินพระจันทร์บดนี่มันยาพิษล้วนๆ เลย ฉันป่วยจะตายอยู่แล้ว"
