Aperture Science {แอ๊พ พะ เชอร์ ซาย เอิ่น}
Canasta {กานัซตา}

cave_laugh04	 [หัวเราะ]
eighties_intro01	 ยินดีต้อนรับสู่ศูนย์พัฒนาศักยภาพ [เสียงไอ]
eighties_intro03	 นับตั้งแต่เรากำหนดให้พนักงานทุกคนต้องเข้าร่วมการทดสอบ คุณภาพของผู้รับการทดสอบก็เพิ่มสูงขึ้นเป็นอย่างมาก ทว่าอัตราการรักษาพนักงานไว้นั้นไม่ได้เพิ่มตามไปด้วย
eighties_intro04	 [ไอ] ผลก็คือ คุณอาจได้ยินว่าเรากำลังค่อยๆยกเลิกการทดลองที่ใช้มนุษย์ แต่มันยังมีอีกไม่กี่อย่างที่จะต้องทำให้เสร็จอยู่
eighties_intro06	 อย่างแรก เจลเปลี่ยนสภาพ [เสียงไอ]
eighties_intro07	 ฝ่ายบัญชีบอกฉันว่าเราไม่มีเงินพอจะซื้อหินดวงจันทร์ราคา 7 ดอลลาร์ได้ จะเอาอะไรกับ 70 ล้าน แต่ก็ซื้อมาอยู่ดี บดจนละเอียด ผสมมันเข้าไปในเจล
eighties_intro08	 ทายซิเกิดอะไรขึ้น? หินพระจันทร์บดนี่มันยาพิษล้วนๆ เลย ฉันป่วยจะตายอยู่แล้ว
eighties_intro10	 ยังไงก็เหอะ มันกลายเป็นว่าพวกมันเป็นตัวนำการก่อประตูมิติที่ดี เราก็เลยจะดูกันว่าเราจะเอาพิษดวงจันทร์ออกจากกระแสเลือดคนถ้าเราโดดเข้าออกประตูมิติพวกนี้ได้ไหม ถ้าชีวติให้มะนาวคุณมา เอามันไปทำน้ำมะนาว [ไอ] มาคิดในแง่บวกและสร้างวิทยาศาสตร์กันดีกว่า
eighties_intro12	 อย่างที่บอก ผมจะยินดีมากๆถ้าคุณจะทำการทดสอบให้เร็วที่สุด แคโรไลน์ เอายาแก้ปวดมาให้ฉันหน่อย
eighties_outro02	 ประเด็นก็คือ ถ้าเราสามารถเก็บเพลงไว้ในแผ่นซีดีได้ ทำไมเราถึงไม่สามารถเก็บสติปัญญาและลักษณะนิสัยของคนๆหนึ่งไว้บนนั้นได้ล่ะ? เพราะอย่างนั้นชั้นถึงให้วิศวกรค้นคว้าเรื่องนั้นอยู่
eighties_outro05	 การทำแผนผังสมอง ปัญญาประดิษฐ์ เราน่าจะศึกษาเรื่องพวกนี้ตั้งแต่สามสิบปีก่อน ชั้นจะพูด-และจะอัดเสียงใส่เทปให้ทุกคนได้ฟังวันละร้อยหน: ถ้าชั้นตายไปก่อนที่ทุกคนจะทำให้ชั้นกลายเป็นคอมพิวเตอร์ได้ ชั้นอยากให้ แคโรไลน์ มาสานต่อที่นี่
